batch_size,input_token_length,output_token_length,prefill_time,decode_time
1,32,16,1.4021790027618408,9.528490543365479
1,32,32,1.264941930770874,20.215008020401
1,32,64,1.2895927429199219,41.01026654243469
1,32,128,1.2784838676452637,86.20786714553833
1,32,256,1.2933573722839355,184.47352814674377
1,32,512,1.3306188583374023,406.00799560546875
1,32,1024,1.328993320465088,882.0517120361328
1,16,32,0.9885432720184326,25.847771406173706
1,32,32,1.4285483360290527,26.49284553527832
1,64,32,2.73134183883667,28.325801610946655
1,128,32,5.028142690658569,30.22836947441101
1,256,32,8.449821472167969,34.493510007858276
1,512,32,16.441624402999878,43.19503831863403
1,1024,32,29.675145149230957,58.37237620353699
